ID_LOCAL,NOMBRE_LOCAL,DISTRITO,LAT,LONG,NUM_MESAS_LOCAL,TURNOS_REQUERIDOS,TURNOS_CUBIERTOS,RATIO_LOCAL,ESTADO_LOCAL,EXCEDENTE_GRADO
2638,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS - FACULTAD DE MEDICINA,LIMA,-12.0567346,-77.0227721,1,2,2,1.000,CUBIERTO,0
2640,IE 0035 NUESTRA SEÑORA DE LA VISITACION,LIMA,-12.0451003,-77.0424941,1,2,2,1.000,CUBIERTO,0
2644,IE 1035 GENERAL JOSE DEL CARMEN MARIN ARISTA,LIMA,-12.0559506,-77.0277104,1,2,2,1.000,CUBIERTO,0
2650,IE 111 SAN JOSE DE ARTESANOS,LIMA,-12.0462579,-77.0243762,1,2,2,1.000,CUBIERTO,0
2654,IE 1149 SAGRADO CORAZON DE JESUS,LIMA,-12.0464425,-77.0449528,1,2,2,1.000,CUBIERTO,0
2659,IE EMBLEMATICA HIPOLITO UNANUE,LIMA,-12.0961358,-77.0745463,1,2,2,1.000,CUBIERTO,0
2660,IE JUAN PABLO VIZCARDO Y GUZMAN,LIMA,-12.0418219,-76.9850670,1,2,2,1.000,CUBIERTO,0
2671,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL SEDE LOCAL 01,LIMA,-12.0431184,-77.1237909,1,2,2,1.000,CUBIERTO,0
2674,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,LIMA,-12.0604783,-77.0801357,2,4,4,1.000,CUBIERTO,0
2676,IE 3069 GENERALISIMO JOSE DE SAN MARTIN,ANCON,-11.7730303,-77.1682181,1,2,2,1.000,CUBIERTO,0
2684,IE 0034,ATE,-12.0090932,-76.8661272,1,2,2,1.000,CUBIERTO,0
2688,IE 1136 JOHN F. KENNEDY,ATE,-12.0744599,-76.9872573,1,2,2,1.000,CUBIERTO,0
2693,IE 1209 GRAN MARISCAL TORIBIO DE LUZURIAGA,ATE,-12.0607982,-76.9551710,1,2,2,1.000,CUBIERTO,0
2696,IE 1222 HUSARES DE JUNIN,ATE,-12.0312289,-76.9373949,1,2,2,1.000,CUBIERTO,0
2700,IE 1229 JULIO ALBERTO PONCE ANTUNEZ DE MAYOLO,ATE,-12.0577857,-76.9570609,1,2,2,1.000,CUBIERTO,0
2704,IE 1239 FORTALEZA,ATE,-12.0314018,-76.9391155,1,2,2,1.000,CUBIERTO,0
2707,IE 1248 5 DE ABRIL,ATE,-12.0208410,-76.8259070,1,2,2,1.000,CUBIERTO,0
2709,IE 1251 PERUANO SUIZO,ATE,-12.0219391,-76.8712853,1,2,2,1.000,CUBIERTO,0
2713,IE 1260 EL AMAUTA,ATE,-12.0188233,-76.8189064,1,2,2,1.000,CUBIERTO,0
2715,IE 1268 GUSTAVO MOHME LLONA,ATE,-12.0274200,-76.8222700,1,2,2,1.000,CUBIERTO,0
