DISTRITO,RATIO_DISTRITO
ANCON,0.000
ATE,0.097
BARRANCO,0.000
BREÑA,0.250
CARABAYLLO,0.031
CHACLACAYO,0.000
CHORRILLOS,0.265
CIENEGUILLA,0.000
COMAS,0.276
EL AGUSTINO,0.318
INDEPENDENCIA,0.273
JESUS MARIA,0.188
LA MOLINA,0.182
LA VICTORIA,0.231
LIMA,0.579
LINCE,0.200
LOS OLIVOS,0.395
LURIGANCHO,0.800
LURIN,0.600
MAGDALENA DEL MAR,0.800
MIRAFLORES,0.389
PACHACAMAC,0.500
PUEBLO LIBRE,0.857
PUENTE PIEDRA,0.382
PUNTA HERMOSA,1.000
PUNTA NEGRA,1.000
RIMAC,0.700
SAN BORJA,0.813
SAN ISIDRO,0.667
SAN JUAN DE LURIGANCHO,0.712
SAN JUAN DE MIRAFLORES,0.714
SAN LUIS,0.667
SAN MARTIN DE PORRES,0.909
SAN MIGUEL,0.800
SANTA ANITA,0.625
SANTA ROSA,1.000
SANTIAGO DE SURCO,0.795
SURQUILLO,1.000
VILLA EL SALVADOR,0.955
VILLA MARIA DEL TRIUNFO,1.000
